timestamp,price,price.1,volume,SMA_15,EMA_15,RSI,target,close,volumeto,time,high,low,open,volumefrom,conversionType,conversionSymbol
,,,,,,,,,,,,,,,,
2018-06-02,7643.26,,362414878.61,,,,,7643.26,362414878.61,1527897600.0,7697.34,7467.79,7530.55,47435.99,direct,
2018-06-03,7719.75,,332313005.46,,,,,7719.75,332313005.46,1527984000.0,7774.96,7606.76,7643.26,42988.84,direct,
2018-06-04,7503.2,,427448262.3,,,,,7503.2,427448262.3,1528070400.0,7760.73,7469.21,7719.73,56223.86,direct,
2018-06-05,7629.4,,440337235.4,,,,,7629.4,440337235.4,1528156800.0,7672.7,7394.97,7503.32,58424.84,direct,
2018-06-06,7661.79,,396116252.65,,,,,7661.79,396116252.65,1528243200.0,7701.35,7504.98,7629.4,51911.42,direct,
2018-06-07,7700.11,,342475552.09,,,,,7700.11,342475552.09,1528329600.0,7755.92,7651.13,7661.79,44318.41,direct,
2018-06-08,7627.52,,310119047.41,,,,,7627.52,310119047.41,1528416000.0,7709.61,7559.5,7700.4,40500.95,direct,
2018-06-09,7513.69,,218013881.09,,,,,7513.69,218013881.09,1528502400.0,7691.74,7495.72,7627.56,28511.04,direct,
2018-06-10,6773.72,,895514425.38,,,,,6773.72,895514425.38,1528588800.0,7514.04,6661.98,7513.76,127797.43,direct,
2018-06-11,6887.37,,482788065.15,,,,,6887.37,482788065.15,1528675200.0,6913.85,6652.89,6773.72,71169.64,direct,
2018-06-12,6556.94,,509372466.34,,,,,6556.94,509372466.34,1528761600.0,6888.33,6462.61,6887.43,75997.29,direct,
2018-06-13,6310.43,,797087281.14,,,,,6310.43,797087281.14,1528848000.0,6623.0,6140.63,6556.94,124304.17,direct,
2018-06-14,6643.26,,620296377.11,,,,,6643.26,620296377.11,1528934400.0,6719.44,6286.23,6310.43,95038.67,direct,
2018-06-15,6396.71,,379228601.07,,,,,6396.71,379228601.07,1529020800.0,6667.23,6380.69,6643.63,57731.42,direct,
2018-06-16,6503.1,,232802782.59,,,,,6503.1,232802782.59,1529107200.0,6569.15,6345.99,6396.71,35851.38,direct,
2018-06-17,6457.78,,224575526.46,,,,,6457.78,224575526.46,1529193600.0,6585.77,6446.38,6503.1,34359.95,direct,
